Rank,Time,Athlete,Country,Meet Name,Swim,Location
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 1500 FR LCM,,,,,,
4,15:28.4,Katie Ledecky,USA,2014 Pan Pacific Championships,8/24/2014,Gold Coast
5,15:34.2,Katie Ledecky,USA,2014 Woodlands Senior Invite,6/19/2014,Shenandoah
6,15:36.5,Katie Ledecky,USA,2013 World Champs,7/30/2013,Barcelona
7,15:42.5,Kate Ziegler,USA,2007 CA SMC,6/14/2007,Mission Viejo
8,15:52.1,Janet Evans,USA,,3/26/1988,Orlando
9,16:00.7,Janet Evans,USA,,7/31/1987,Clovis
10,16:04.5,Kim Linehan,USA,,8/19/1979,Ft Lauderdale
11,16:06.6,Tracey Wickham,AUS,,2/25/1979,Perth
12,16:14.9,Tracey Wickham,AUS,,2/8/1978,Brisbane
13,16:24.6,Alice Brown,USA,,8/25/1977,Mission Viejo
14,16:33.9,Jennifer Turrall,AUS,,8/25/1974,Concord
15,16:39.3,Jennifer Turrall,AUS,,8/3/1974,Los Angeles
16,16:43.4,Jennifer Turrall,AUS,,7/13/1974,Sydney
17,16:48.2,Jennifer Turrall,AUS,,1/9/1974,Sydney
18,16:49.9,Jennifer Turrall,AUS,,12/9/1973,Sydney
19,16:54.1,Jo Ann Harshbarger,USA,,8/25/1973,Louisville
20,16:56.9,Shane Gould,AUS,,2/11/1973,Adelaide
21,17:00.6,Shane Gould,AUS,,12/12/1971,Sydney
22,17:19.2,Cathy Calhoun,USA,,8/28/1971,Houston
23,17:19.9,Deborah Meyer,USA,,8/17/1969,Loisville
24,17:31.2,Deborah Meyer,USA,,7/21/1968,Los Angeles
25,17:50.2,Deborah Meyer,USA,,8/20/1967,Philadelphia
26,18:11.1,Deborah Meyer,USA,,7/9/1967,Santa Clara
27,18:12.9,Patricia Carreto,USA,,8/21/1966,Lincoln
28,18:23.7,Patricia Carreto,USA,,8/12/1965,Los Altos
29,18:30.5,Patricia Carreto,USA,,7/30/1964,Los Altos
30,18:44.0,Carolyn House,USA,,8/16/1962,Chicago
31,19:02.8,Margareta Rylander,SWE,,6/27/1961,Uppsala
32,19:23.6,Jane Cederquist,SWE,,9/8/1960,Uppsala
33,19:25.7,Isla Konrads,AUS,,1/14/1960,Sydney
34,20:03.1,Jans Koster,NED,,7/27/1957,Holversum
35,20:22.8,Jans Koster,NED,,8/21/1956,Utrecht
,,,,,,
Men's 50 BK LCM,,,,,,
1,24,Kliment Kolesnikov,RUS,2018 European Champs ,8/4/2018,Glasgow
2,24.04,Liam Tancock,GBR,2009 World Champs ,8/2/2009,Rome
3,24.08,Liam Tancock,GBR,2009 World Champs ,8/1/2009,Rome
4,24.33,Randall Bal,USA,,12/5/2008,Einhdoven
5,24.47,Liam Tancock,GBR,,4/2/2008,Sheffield
6,24.8,Thomas Rupprath,GER,,7/27/2003,Barcelona
7,24.99,Lenny Krayzelburg,USA,,8/28/1999,Sydney
8,25.13,Jeff Rouse,USA,,4/15/1993,Edinburgh
9,25.23,Dave Berkoff,USA,,9/24/1988,Seoul
,,,,,,
Women's 50 BK LCM,,,,,,
1,26.98,Liu Xiang,CHN,,8/19/2018,Jakarta
2,27.06,Zhao Jing,CHN,2009 World Champs ,7/30/2009,Rome
3,27.38,Anastasiia Zueva,RUS,,7/29/2009,Rome
4,27.39,Daniela Samulski,GER,,7/29/2009,Rome
5,27.61,Daniela Samulski,GER,2008 Olympic Invite,6/26/2009,Berlin
1/20/2020 7:18,,,Highlighted Record ,,,10
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 50 BK LCM,,,,,,
6,27.67,Sophie Edington,AUS,,3/23/2008,Sydney
6,27.67,Zhao Jing,CHN,2008 Olympic Invite,4/9/2009,Shaoxing
8,27.95,Emily Seebohm,AUS,,3/22/2008,Sydney 
9,28,Hayley McGregory,USA,,3/7/2008,Austin
10,28.09,Yang Ki,CHN,,10/19/2007,Hyderabad
11,28.16,Leila Vaziri,USA,,3/29/2007,Melbourne
11,28.16,Leila Vaziri,USA,,3/28/2007,Melbourne
13,28.19,Janine Pietsch,GER,,5/25/2005,Berlin
14,28.25,Sandra Volker,GER,,6/17/2000,Berlin
15,28.67,Mai Nakamura,JPN,,4/25/2000,Tokyo
16,28.69,Nina Zhivanevskaya,ESP,,4/8/2000,Madrid
17,28.71,Sandra Volker,GER,,8/1/1999,Istanbul
18,28.78,Sandra Volker,GER,,6/12/1999,Monte Carlo
19,29,Sandra Volker,GER,,5/24/1997,Monte Carlo
,,,,,,
Men's 100 BK LCM,,,,,,
1,51.85,Ryan Murphy,USA,2016 Olympic Games,8/13/2016,Rio
2,51.94,Aaron Peirsol,USA,2009 USA Swimming National Champs,7/8/2009,Indianapolis
3,52.38,Aschwin Wildeboer ,,,,Pescara
,,Faber,ESP,,7/1/2009,
4,52.54,Aaron Peirsol,USA,2008 Olympic Games,8/12/2008,Beijing
5,52.89,Aaron Peirsol,USA,2008 Olympic Trials,7/1/2008,Omaha
6,52.98,Aaron Peirsol,USA,2007 World Champs,3/27/2007,Melbourne
7,53.17,Aaron Peirsol,USA,2005 World Championship Trials,4/2/2005,Indianapolis
8,53.45,Aaron Peirsol,USA,2004 Olympic Games,8/21/2004,Athens
9,53.6,Lenny Krayzelburg,USA,1999 Pan Pac,8/24/1999,Sydney
10,53.86,Jeff Rouse,USA,,7/31/1992,Barcelona
11,53.93,Jeff Rouse,USA,,8/25/1991,Edmonton
12,54.51,Dave Berkoff,USA,,9/24/1988,Seoul
13,54.91,Dave Berkoff,USA,,8/13/1988,Austin
14,54.95,Dave Berkoff,USA,,8/13/1988,Austin
15,55,Igor Poliansky,RUS,,7/16/1988,Moscow
16,55.16,Igor Poliansky,RUS,,3/16/1988,Tallinn
17,55.17,Igor Poliansky,RUS,,3/15/1988,Tallinn
18,55.19,Rick Carey,USA,,8/21/1983,Caracas
19,55.38,Rick Carey,USA,,8/6/1983,Clovis
20,55.44,Rick Carey,USA,,8/6/1983,Clovis
21,55.49,John Naber,USA,,7/19/1976,Montreal
22,56.19,John Naber,USA,,7/18/1976,Montreal
23,56.3,Roland Matthes,GDR,,9/4/1972,Munich
23,56.3,Roland Matthes,GDR,,4/8/1972,Moscow
25,56.6,Roland Matthes,GDR,,4/8/1972,Moscow
26,56.7,Roland Matthes,GDR,,9/4/1971,Leipzig
27,56.9,Roland Matthes,GDR,,9/8/1970,Barcelona
28,57.8,Roland Matthes,GDR,,8/23/1969,Wurzburg
29,58,Roland Matthes,GDR,,10/26/1968,Mexico City
30,58.4,Roland Matthes,GDR,,9/21/1967,Leipzig
31,59.1,Charles Hickcox,USA,,8/31/1967,Tokyo
32,59.3,Charles Hickcox,USA,,8/28/1967,Tokyo
33,59.5,Douglas Russel,USA,,8/28/1967,Tokyo
1/20/2020 7:18,,,Highlighted Record ,,,11
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 100 BK LCM,,,,,,
34,59.6,Thompson Mann,USA,,10/16/1964,Tokyo
35,01:00.0,Thompson Mann,USA,,9/3/1964,New York
,,,,,,
Women's 100 BK LCM,,,,,,
1,57.57,Regan Smith,   ,2019 World Champs,7/28/2019,Gwangju
2,58,Kathleen Baker,USA,2018 Summer Nationals,7/28/2018,Irvine
3,58.1,Kylie Masse,CAN,2017 World Champs,7/25/2017,Budapest
4,58.12,Gemma Spofforth,GBR,2009 World Champs ,7/28/2009,Rome
5,58.48,Anastasiia Zueva,RUS,,7/27/2009,Rome
6,58.77,Kirsty Coventry,ZIM,2008 Olympic Games,8/9/2008,Beijing
7,58.97,Natalie Hall,USA,2008 Olympic Trials,6/29/2008,Omaha
8,59.03,Natalie Hall,USA,2008 Olympic Trials,6/29/2008,Omaha
9,59.15,Hayley McGregory,USA,2008 Olympic Trials,6/29/2008,Omaha
10,59.21,Natalie Hall,USA,2008 Missouri Grand Prix,2/15/2008,Columbia
11,59.44,Natalie Hall,USA,2007 World Champs,3/27/2007,Melbourne
12,59.58,Natalie Hall,USA,2002 US Phillips 66 Nationals,8/13/2002,Ft.Lauderdale
13,01:00.2,He Cihong,CHN,,9/10/1994,Roma
14,01:00.3,Krisztina Egerszegi,HUN,,8/22/1991,Athens
15,01:00.6,Ina Kleber,GDR,,8/24/1984,Moscow
16,01:00.9,Rica Reinisch,GDR,,7/23/1980,Moscow
17,01:01.5,Rica Reinisch,GDR,,7/22/1980,Moscow
18,01:01.5,Rica Reinisch,GDR,,7/20/1980,Moscow
18,01:01.5,Ulrike Richter,GDR,,6/5/1976,Berlin
20,01:01.6,Kornelia Ender,GDR,,6/3/1976,Berlin
21,01:02.6,Ulrike Richter,GDR,,3/14/1976,Tallin
22,01:03.0,Ulrike Richter,GDR,,9/1/1974,Concord
23,01:03.1,Ulrike Richter,GDR,,8/24/1974,Vienna
24,01:03.3,Ulrike Richter,GDR,,8/23/1974,Vienna
25,01:04.1,Ulrike Richter,GDR,,8/22/1974,Vienna
26,01:04.4,Ulrike Richter,GDR,,7/8/1974,Rostock
27,01:04.8,Wendy Cook,CAN,,1/31/1974,Christchurch
28,01:05.0,Ulrike Richter,GDR,,9/4/1973,Belgrade
29,01:05.4,Ulrike Richter,GDR,,8/18/1973,Utrecht
30,01:05.6,Karen Muir,RSA,,7/6/1969,Utrecht
31,01:06.2,Kaye Hall,USA,,10/23/1968,Mexico City
32,01:06.4,Karen Muir,RSA,,4/6/1968,Paris
33,01:06.7,Karen Muir,RSA,,1/30/1968,Kimberley
34,01:07.1,Elaine Tanner,CAN,,7/30/1967,Winnipeg
35,01:07.3,Elaine Tanner,CAN,,7/27/1967,Winnipeg
36,01:07.4,Ann Fairlie,RSA,,7/23/1966,Beziers
37,01:07.7,Cathy Ferguson,USA,,10/14/1964,Tokyo
,,,,,,
Men's 200 BK LCM,,,,,,
1,01:51.9,Aaron Peirsol,USA,2009 World Champs ,7/31/2009,Rome
2,01:53.1,Aaron Peirsol,USA,2009 USA Swimming National Champs,7/11/2009,Indianapolis
3,01:53.9,Ryan Lochte,USA,2008 Olympic Games,8/9/2008,Beijing
4,01:54.3,Ryan Lochte,USA,2007 World Champs,3/25/2007,Melbourne
4,01:54.3,Aaron Peirsol,USA,2008 Olympic Trials,6/29/2008,Omaha
6,01:54.4,Aaron Peirsol,USA,2006 Pan Pacific Champs,8/17/2006,Victoria
7,01:54.7,Aaron Peirsol,USA,2005 World Champs,7/29/2005,Montreal
1/20/2020 7:18,,,Highlighted Record ,,,12
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 200 BK LCM,,,,,,
8,01:54.7,Aaron Peirsol,USA,2004 US Olympic Trials,7/12/2004,Long Beach
9,01:55.1,Aaron Peirsol,USA,2002 Phillips66 Spring Nationals,3/20/2002,Minneapolis
10,01:55.9,Lenny Krayzelburg,USA,,8/27/1999,Sydney
11,01:56.6,Martin Zubero,ESP,,11/23/1991,Tuscaloosa
12,01:57.3,Martin Zubero,ESP,,8/13/1991,FtLauderdale
13,01:58.1,Igor Poliansky,RUS,,3/3/1985,Erfurt
14,01:58.4,Sergey Zabolotnov,RUS,,8/21/1984,Moscow
15,01:58.9,Rick Carey,USA,,6/27/1984,Indianapolis
16,01:58.9,Rick Carey,USA,,8/3/1983,Clovis
17,01:59.2,John Naber,USA,,7/24/1976,Montreal
18,02:00.6,John Naber,USA,,6/19/1976,Long Beach
19,02:01.9,Roland Matthes,GDR,,9/6/1973,Belgrade
20,02:02.8,Roland Matthes,GDR,,7/10/1972,Leipzig
21,02:02.8,Roland Matthes,GDR,,9/2/1972,Munich
22,02:05.6,Roland Matthes,GDR,,9/3/1971,Leipzig
23,02:06.1,Roland Matthes,GDR,,9/11/1970,Barcelona
24,02:06.3,Michael Stamm,USA,,8/20/1970,Los Angeles
25,02:06.4,Roland Matthes,GDR,,8/29/1969,Berlin
26,02:06.6,Gary Hall,USA,,8/14/1969,Louisville
27,02:07.4,Roland Matthes,GDR,,7/12/1969,Santa Clara
28,02:07.5,Roland Matthes,GDR,,8/14/1968,Leipzig
29,02:07.9,Roland Matthes,GDR,,11/8/1967,Leipzig
30,02:09.4,Charles Hickcox,USA,,8/29/1967,Tokyo
31,02:10.3,Jed Graeff,USA,,10/13/1964,Tokyo
32,02:10.9,Thomas Stock,USA,,8/10/1962,Cuyahoga Falls
33,02:11.5,Thomas Stock,USA,,8/20/1961,Los Angeles
34,02:13.2,Thomas Stock,USA,,7/2/1961,Chicago
,,,,,,
Women's 200 BK LCM,,,,,,
1,02:03.4,Regan Smith,USA,2019 World Champs,7/26/2019,Gwangju
2,02:04.1,Missy Franklin,USA,2012 Olympic Games,8/3/2012,London
3,02:04.8,Kirsty Coventry,ZIM,2009 World Champs ,8/1/2009,Rome
4,02:05.2,Kirsty Coventry,ZIM,2008 Olympic Games,8/9/2008,Beijing
5,02:06.1,Margaret Hoelzer,USA,2008 Olympic Trials,6/29/2008,Omaha
6,02:06.4,Kirsty Coventry,ZIM,2008 Missouri Grand Prix,2/15/2008,Columbia
7,02:06.6,Krisztina Egerszegi,HUN,1991 US European Championships,8/25/1991,Athens
8,02:08.6,Betsy Mitchell,USA,,6/27/1986,Orlando
9,02:09.9,Cornelia Sirch,GDR,,8/7/1982,Guayaquil
10,02:11.8,Rica Reinisch,GDR,,7/27/1980,Moscow
11,02:11.9,Linda Jezek,USA,,8/24/1978,Berlin
12,02:12.5,Birgit Treiber,GDR,,6/4/1976,Berlin
13,02:13.5,Antje Stille,GDR,,3/13/1976,Tallin
14,02:14.4,Antje Stille,GDR,,2/29/1976,Berlin
15,02:15.5,Birgit Treiber,GDR,,7/25/1975,Cali
16,02:16.1,Birgit Treiber,GDR,,6/6/1975,Wittenberg
17,02:16.3,Nancy Garapick,CAN,,4/27/1975,Brantford
18,02:17.4,Ulrike Richter,GDR,,8/25/1974,Vienna
19,02:18.4,Ulrike Richter,GDR,,7/7/1974,Rostock
20,02:19.2,Melissa Belote,USA,,9/4/1972,Munich
21,02:20.6,Melissa Belote,USA,,9/4/1972,Munich
1/20/2020 7:18,,,Highlighted Record ,,,13
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 200 BK LCM,,,,,,
22,02:20.6,Melissa Belote,USA,,8/5/1972,Chicago
23,02:21.5,Susie Atwood,USA,,8/14/1969,Louisville
24,02:23.8,Karen Muir,RSA,,7/21/1968,Los Angeles
25,02:24.1,Karen Muir,RSA,,1/6/1968,Kimberley
26,02:24.4,Elaine Tanner,CAN,,6/26/1967,Winnipeg
27,02:26.4,Karen Muir,RSA,,8/18/1966,Lincoln
28,02:27.1,Karen Muir,RSA,,7/25/1966,Beziers
29,02:27.4,Cathy Ferguson,USA,,9/28/1964,Los Angeles
30,02:28.2,Satoko Tanaka,JPN,,8/4/1963,Tokyo
31,02:28.5,Satoko Tanaka,JPN,,2/21/1963,Perth
32,02:28.9,Satoko Tanaka,JPN,,2/18/1963,Perth
33,02:29.6,Satoko Tanaka,JPN,,2/10/1963,Sydney
34,02:31.6,Satoko Tanaka,JPN,,7/29/1962,Osaka
35,02:32.1,Satoko Tanaka,JPN,,6/3/1962,Beppu
36,02:33.2,Satoko Tanaka,JPN,,7/30/1961,Tokyo
37,02:33.3,Satoko Tanaka,JPN,,7/23/1960,Tokyo
38,02:33.5,Lynn Burke,USA,,7/15/1960,Indianapolis
39,02:34.8,Satoko Tanaka,JPN,,4/2/1960,Tokyo
40,02:37.1,Satoko Tanaka,JPN,,7/12/1959,Tokyo
,,,,,,
Men's 50 BR LCM,,,,,,
1,25.95,Adam Peaty,GBR,,7/25/2017,Budapest
2,26.1,Adam Peaty,GBR,,7/25/2017,Budapest
3,26.42,Adam Peaty,GBR,2015 World Champs,8/4/2015,Kazan
4,26.62,Adam Peaty,GBR,,8/18/2014,Berlin
4,26.62,Cameron van der Burgh,RSA,,8/4/2015,Kazan
6,26.67,Cameron van der Burgh,RSA,2009 World Champs ,7/29/2009,Rome
7,26.74,Cameron van der Burgh,RSA,2009 World Champs ,7/26/2009,Rome
8,26.89,Felipe Franca,BRA,,5/8/2009,Rio de Janeiro
9,27.06,Cameron van der Burgh,RSA,,4/18/2009,Durban
10,27.18,Oleg Lisogor,UKR,,8/2/2002,Berlin
11,27.39,Ed Moses,USA,,3/31/2001,Austin
12,27.49,Anthony Robinson,USA,,3/29/2001,Austin
13,27.61,Alexander Dzhaburiya,UKR,,4/27/1996,Kharkov
14,27.82,Mark Warnecke,FRG,,5/25/1995,Warendork
15,28.05,Dmitri Volkov,RUS,,6/25/1989,Canet
,,,,,,
Women's 50 BR LCM,,,,,,
1,29.4,Lilly King,USA,,7/30/2017,Budapest
2,29.48,Ruta Meilutyte,LTU,2013 World Champs,8/3/2013,Barcelona
3,29.78,Yulia Efimova,RUS,2013 World Champs,8/3/2013,Barcelona
4,29.8,Jessica Hardy,USA,2009 U. S. Open,8/7/2009,Federal Way
5,29.95,Jessica Hardy,USA,,8/6/2009,Federal Way
6,30.09,Yulia Efimova,RUS,,8/2/2009,Rome
7,30.23,Amanda Reason,CAN,2008 Olympic Invite,7/8/2009,Montreal
8,30.31,Jade Edmistone,,2006 AUS Commonwealth Games ,,Melbourne
,,,AUS,Trials,1/30/2006,
9,30.45,Jade Edmistone,AUS,,7/31/2005,Montreal
10,30.57,Zoe Baker,GBR,,7/30/2002,Manchester
11,30.83,Penelope Heyns,RSA,,8/28/1999,Sydney
1/20/2020 7:18,,,Highlighted Record ,,,14
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 100 BR LCM,,,,,,
12,30.95,Penelope Heyns,RSA,,8/1/1998,New York
,,,,,,
Men's 100 BR LCM,,,,,,
1,56.88,Adam Peaty,GBR,2019 World Champs,7/21/2019,Gwangju
2,57.1,Adam Peaty,GBR,2018 European Champs ,8/4/2018,Glasgow
3,57.13,Adam Peaty,GBR,2016 Olympic Games,8/7/2016,Rio
4,57.55,Adam Peaty,GBR,,8/6/2016,Rio de Janeiro
5,57.92,Adam Peaty,GBR,British Swimming Championships 2015,4/17/2015,London
6,58.46,Cameron van der Burgh,RSA,2012 Olympic Games,7/29/2012,London
7,58.58,Brenton Rickard,AUS,2009 World Champs ,7/27/2009,Rome
8,58.91,Kosuke Kitajima,JPN,2008 Olympic Games,8/9/2008,Beijing
9,59.13,Brendan Hansen,USA,2006 CA ConocoPhillips Nats,8/1/2006,Irvine
10,59.3,Brendan Hansen,USA,2004 US Olympic Trials,7/7/2004,Long Beach
11,59.78,Kosuke Kitajima,JPN,2003 World Champs,7/21/2003,Barcelona
12,59.94,Roman Sloudnov,RUS,2001 World Champs,7/23/2001,Fukuoka
13,59.97,Roman Sloudnov,RUS,,6/29/2001,Moscow
14,01:00.3,Roman Sloudnov,RUS,,6/28/2001,Moscow
15,01:00.3,Ed Moses,USA,,3/28/2001,Austin
16,01:00.4,Roman Sloudnov,RUS,,6/15/2000,Moscow
17,01:00.6,Fred Deburghgraeve,BEL,,7/20/1996,Atlanta
18,01:01.0,Karoly Guttler,HUN,,8/3/1993,Sheffield
19,01:01.3,Norbert Rozsa,HUN,,8/20/1991,Rome
20,01:01.4,Vasily Ivanov,RUS,,6/11/1991,Moscow
20,01:01.4,Norbert Rozsa,HUN,,1/7/1991,Perth
22,01:01.5,Adrian Moorhouse,GBR,,7/26/1990,London
22,01:01.5,Adrian Moorhouse,GBR,,1/25/1990,Auckland
22,01:01.5,Adrian Moorhouse,GBR,,8/15/1989,Bonn
22,01:01.5,Norbert Rozsa,HUN,,1/7/1991,Perth
26,01:01.7,Steve Lundquist,USA,,7/29/1984,Los Angeles
27,01:02.1,John Moffet,USA,,6/25/1984,Indianapolis
28,01:02.3,Steve Lundquist,USA,,8/17/1983,Caracas
29,01:02.3,Steve Lundquist,USA,,8/6/1983,Clovis
30,01:02.5,Steve Lundquist,USA,,8/21/1982,Indianapolis
31,01:02.6,Steve Lundquist,USA,,7/19/1982,Mission Viejo
32,01:02.9,Gerald Morken,GER,,8/18/1977,Jonkoping
33,01:03.1,John Hencken,USA,,7/20/1976,Montreal
34,01:03.6,John Hencken,USA,,7/19/1976,Montreal
35,01:03.9,John Hencken,USA,,7/19/1976,Montreal
35,01:03.9,John Hencken,USA,,8/31/1974,Concord
37,01:04.0,John Hencken,USA,,9/4/1973,Belgrade
38,01:04.3,John Hencken,USA,,9/4/1973,Belgrade
39,01:04.9,Nobutaka Taguchi,JPN,,8/30/1972,Munich
40,01:05.1,Nobutaka Taguchi,JPN,,8/29/1972,Munich
41,01:05.7,John Hencken,USA,,8/29/1972,Munich
,,,,,,
Women's 100 BR LCM,,,,,,
1,01:04.1,Lilly King,USA,2017 World Champs,7/25/2017,Budapest
2,01:04.3,Ruta Meilutyte,LTU,2013 World Champs,7/29/2013,Barcelona
3,01:04.4,Jessica Hardy,USA,2009 U. S. Open,8/7/2009,Federal Way
4,01:04.8,Rebecca Soni,USA,2009 World Champs ,7/26/2009,Rome
1/20/2020 7:18,,,Highlighted Record ,,,15
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 100 BR LCM,,,,,,
5,01:05.1,Leisel Jones,AUS,2006 Common Wealth Games,3/20/2006,Melbourne
6,01:05.7,Leisel Jones,AUS,,2/3/2006,Melbourne
7,01:06.2,Jessica Meichtry,USA,2005 World Champs,7/24/2005,Montreal
8,01:06.4,Leisel Jones,AUS,2003 World Champs,7/22/2003,Barcelona
9,01:06.5,Penelope Heyns,RSA,1999 US Pan Pacific Champs,8/23/1999,Sydney
10,01:06.9,Penelope Heyns,RSA,,7/18/1999,Los Angeles
11,01:07.0,Penelope Heyns,RSA,,7/18/1999,Los Angeles
12,01:07.0,Penelope Heyns,RSA,,7/21/1996,Atlanta
13,01:07.5,Penelope Heyns,RSA,,3/4/1996,Durban
14,01:07.7,Samantha Riley,AUS,,9/9/1994,Rome
15,01:07.9,Silke Horner,GDR,,8/21/1987,Strasbourg
16,01:08.1,Sylvia Gerasch,GDR,,8/21/1986,Madrid
17,01:08.3,Sylvia Gerasch,GDR,,8/23/1984,Moscow
18,01:08.5,Ute Geweniger,GDR,,8/25/1983,Rome
19,01:08.6,Ute Geweniger,GDR,,9/8/1981,Split
20,01:09.4,Ute Geweniger,GDR,,7/2/1981,East Berlin
21,01:09.5,Ute Geweniger,GDR,,4/9/1981,Gera
22,01:10.1,Ute Geweniger,GDR,,7/24/1980,Moscow
23,01:10.2,Ute Geweniger,GDR,,5/26/1980,Magdeburg
24,01:10.3,Yuliya Bogdanova,URS,,8/22/1978,Berlin
25,01:10.9,Anke Hannelore,GDR,,7/22/1976,Montreal
26,01:11.1,Anke Hannelore,GDR,,7/22/1976,Montreal
27,01:11.9,Carola Nitschke,GDR,,6/2/1976,Berlin
28,01:12.3,Renate Vogel,GDR,,9/1/1974,Concord
29,01:12.6,Cristel Justen,FRG,,8/22/1974,Vienna
30,01:12.9,Renate Vogel,GDR,,8/22/1974,Vienna
31,01:13.6,Catherine Carr,USA,,9/2/1972,Munich
32,01:14.2,Catherine Ball,USA,,8/25/1968,Los Angeles
33,01:14.6,Catherine Ball,USA,,8/19/1967,Philadelphia
34,01:14.8,Catherine Ball,USA,,7/31/1967,Winnipeg
35,01:15.6,Catherine Ball,USA,,7/7/1967,Santa Clara
35,01:15.6,Catherine Ball,USA,,12/28/1966,Ft Lauderdale
37,01:15.7,Svetlana Galina,URS,,7/17/1966,Leningrad
38,01:16.5,Svetlana Babanina,URS,,5/11/1965,Tashkent
39,01:17.2,Svetlana Babanina,URS,,9/3/1964,Moscow
40,01:17.9,Claudia Kolb,USA,,7/11/1964,Los Angeles
41,01:18.2,Barbara Gobel,GDR,,7/1/1961,Rostock
42,01:19.0,Ursela Kuper,GDR,,7/14/1960,Leipzig
43,01:19.1,Wiltrud Urselmann,FRG,,3/12/1960,Zurich
44,01:19.6,Karin Beyer,GDR,,9/12/1958,Leipzig
45,01:20.3,Karin Beyer,GDR,,7/20/1958,Berlin
,,,,,,
Men's 200 BR LCM,,,,,,
1,02:06.1,Anton Chupkov,RUS,2019 World Champs,7/26/2019,Gwangju
2,02:06.7,Ippei Watanabe,JPN,10th Tokyo Swimming Championships,1/27/2017,Tokyo
2,02:06.7,Matthew Wilson,AUS,2019 World Champs,7/25/2019,Gwangju
4,02:07.0,Akihiro Yamaguchi,,67th Japan National Sports Festival - ,,Gifu
,,,JPN,Swimming Com,9/15/2012,
5,02:07.3,Daniel Gyurta,HUN,2012 Olympic Games,7/28/2012,London
6,02:07.3,Christian Sprenger,AUS,2009 World Champs ,7/30/2009,Rome
1/20/2020 7:18,,,Highlighted Record ,,,16
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 200 BR LCM,,,,,,
7,02:07.5,Kosuke Kitajima,JPN,2008 RUS Invite,6/1/2008,Tokyo
8,02:08.5,Brendan Hansen,USA,2006 Pan Pacific Champs,8/17/2006,Victoria
9,02:08.7,Brendan Hansen,USA,2006 CA ConocoPhillips Nats,8/1/2006,Irvine
10,02:09.0,Brendan Hansen,USA,2004 US Olympic Trials,7/11/2004,Long Beach
11,02:09.4,Kosuke Kitajima,JPN,2003 World Champs,7/24/2003,Barcelona
12,02:09.5,Dmitry Komornikov,RUS,,6/15/2003,Barcelona
13,02:10.0,Kosuke Kitajima,JPN,,10/2/2002,Buson
14,02:10.2,Mike Barrowman,USA,,7/29/1992,Barcelona
15,02:10.6,Mike Barrowman,USA,,8/13/1991,FtLauderdale
16,02:11.2,Mike Barrowman,USA,,1/11/1991,Perth
17,02:11.5,Mike Barrowman,USA,,7/20/1990,Seattle
18,02:12.9,Mike Barrowman,USA,,8/20/1989,Tokyo
19,02:12.9,Mike Barrowman,USA,,8/4/1989,Los Angeles
19,02:12.9,Nick Gillingham,GBR,,8/19/1989,Bonn
21,02:13.3,Victor Davis,CAN,,8/2/1984,Los Angeles
22,02:14.6,Victor Davis,CAN,,6/17/1984,Etobicoke
23,02:14.8,Victor Davis,CAN,,8/5/1982,Guayaquil
24,02:15.1,David Wilkie,GBR,,7/24/1976,Montreal
25,02:18.2,John Hencken,USA,,9/1/1974,Concord
26,02:18.9,John Hencken,USA,,8/24/1974,Concord
27,02:19.3,David Wilkie,GBR,,9/6/1973,Belgrade
28,02:20.5,John Hencken,USA,,8/24/1973,Louisville
29,02:21.6,John Hencken,USA,,9/2/1972,Munich
30,02:22.8,John Hencken,USA,,8/5/1972,Chicago
31,02:23.5,Brian Job,USA,,8/22/1970,Los Angeles
32,02:25.4,Nikolai Pankin,RUS,,4/19/1969,Magdeburg
33,02:26.5,Nikolai Pankin,RUS,,3/22/1969,Minsk
34,02:27.4,Vladimir Kosinsky,RUS,,4/3/1968,Kaley
35,02:27.8,Ian O'Brien,AUS,,10/15/1965,Tokyo
36,02:28.2,Chet Jastremski,USA,,8/30/1964,New York
37,02:29.6,Chet Jastremski,USA,,8/19/1961,Los Angeles
,,,,,,
Women's 200 BR LCM,,,,,,
1,02:19.1,Rikke Pedersen,DEN,2013 World Champs,8/1/2013,Barcelona
2,02:19.6,Rebecca Soni,USA,2012 Olympic Games,8/2/2012,London
3,02:20.0,Rebecca Soni,USA,,8/1/2012,London
4,02:20.1,Annamay Pierse,CAN,2009 World Champs ,7/30/2009,Rome
5,02:20.2,Rebecca Soni,USA,2008 Olympic Games,8/9/2008,Beijing
6,02:20.5,Leisel Jones,,2006 AUS Commonwealth Games ,,Melbourne
,,,AUS,Trials,1/29/2006,
7,02:21.7,Leisel Jones,AUS,2005 World Champs,7/24/2005,Montreal
